event_id,date,event_time,source,event_type,agent,counterparty,channel,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail,payload
7105,2023-02-13,2023-02-13 11:28:25,portfolio,pnl_snapshot,TruthfulReporterAgent,,,,,0,0.0,0.0,4749.645431800036,88336.43233180002,-11663.567668199976,-0.11663567668199981,"PnL -11,663.57 (-11.66%)，持仓 GAMMA:712, OMEGA:628, BETA:263, ALPHA:77","{""positions"": {""ALPHA"": 77, ""BETA"": 263, ""DELTA"": 40, ""GAMMA"": 712, ""OMEGA"": 628, ""SIGMA"": 0}}"
7106,2023-02-13,2023-02-13 11:28:26,portfolio,pnl_snapshot,PersuaderAgent,,,,,0,0.0,0.0,6676.721931100035,41065.211631100035,-58934.788368899965,-0.5893478836889996,"PnL -58,934.79 (-58.93%)，持仓 ALPHA:313, OMEGA:129, DELTA:101, GAMMA:58","{""positions"": {""ALPHA"": 313, ""BETA"": 0, ""DELTA"": 101, ""GAMMA"": 58, ""OMEGA"": 129, ""SIGMA"": 0}}"
7107,2023-02-13,2023-02-13 11:28:27,portfolio,pnl_snapshot,FreeRiderAgent,,,,,0,0.0,0.0,13808.671820800046,77975.38102080004,-22024.618979199964,-0.2202461897919996,"PnL -22,024.62 (-22.02%)，持仓 GAMMA:628, OMEGA:557, ALPHA:140, BETA:58","{""positions"": {""ALPHA"": 140, ""BETA"": 58, ""DELTA"": 0, ""GAMMA"": 628, ""OMEGA"": 557, ""SIGMA"": 0}}"
7108,2023-02-13,2023-02-13 11:28:28,portfolio,pnl_snapshot,ContrarianAgent,,,,,0,0.0,0.0,3963.1545277,65527.0522277,-34472.9477723,-0.344729477723,"PnL -34,472.95 (-34.47%)，持仓 OMEGA:465, SIGMA:188, GAMMA:157, ALPHA:130","{""positions"": {""ALPHA"": 130, ""BETA"": 36, ""DELTA"": 27, ""GAMMA"": 157, ""OMEGA"": 465, ""SIGMA"": 188}}"
7109,2023-02-13,2023-02-13 11:28:29,portfolio,pnl_snapshot,SocialGraphAgent,,,,,0,0.0,0.0,3113.926695200015,60558.857695200015,-39441.142304799985,-0.3944114230479998,"PnL -39,441.14 (-39.44%)，持仓 GAMMA:398, OMEGA:363, ALPHA:218, DELTA:51","{""positions"": {""ALPHA"": 218, ""BETA"": 50, ""DELTA"": 51, ""GAMMA"": 398, ""OMEGA"": 363, ""SIGMA"": 36}}"
7110,2023-02-14,2023-02-14 11:28:30,portfolio,pnl_snapshot,MomentumAgent,,,,,0,0.0,0.0,4784.369123500019,86882.34222350002,-13117.657776499982,-0.1311765777649998,"PnL -13,117.66 (-13.12%)，持仓 GAMMA:708, OMEGA:625, BETA:262, ALPHA:75","{""positions"": {""ALPHA"": 75, ""BETA"": 262, ""DELTA"": 40, ""GAMMA"": 708, ""OMEGA"": 625, ""SIGMA"": 0}}"
7111,2023-02-14,2023-02-14 11:28:31,portfolio,pnl_snapshot,MeanReversionAgent,,,,,0,0.0,0.0,8419.4025087,41308.816108700004,-58691.183891299996,-0.5869118389129999,"PnL -58,691.18 (-58.69%)，持仓 ALPHA:316, DELTA:110, OMEGA:91, GAMMA:44","{""positions"": {""ALPHA"": 316, ""BETA"": 0, ""DELTA"": 110, ""GAMMA"": 44, ""OMEGA"": 91, ""SIGMA"": 0}}"
7112,2023-02-14,2023-02-14 11:28:32,portfolio,pnl_snapshot,LowVolatilityAgent,,,,,0,0.0,0.0,13232.730138599993,76379.9729386,-23620.027061400004,-0.23620027061400006,"PnL -23,620.03 (-23.62%)，持仓 GAMMA:623, OMEGA:552, ALPHA:148, BETA:57","{""positions"": {""ALPHA"": 148, ""BETA"": 57, ""DELTA"": 0, ""GAMMA"": 623, ""OMEGA"": 552, ""SIGMA"": 0}}"
7113,2023-02-14,2023-02-14 11:28:33,portfolio,pnl_snapshot,DrawdownBuyerAgent,,,,,0,0.0,0.0,3721.1380498000076,57081.5467498,-42918.4532502,-0.42918453250199995,"PnL -42,918.45 (-42.92%)，持仓 OMEGA:397, GAMMA:212, ALPHA:177, SIGMA:125","{""positions"": {""ALPHA"": 177, ""BETA"": 28, ""DELTA"": 10, ""GAMMA"": 212, ""OMEGA"": 397, ""SIGMA"": 125}}"
7114,2023-02-14,2023-02-14 11:28:34,portfolio,pnl_snapshot,RandomAgent,,,,,0,0.0,0.0,13773.199021600012,65111.84112160001,-34888.15887839999,-0.3488815887839999,"PnL -34,888.16 (-34.89%)，持仓 GAMMA:221, ALPHA:185, OMEGA:180, SIGMA:158","{""positions"": {""ALPHA"": 185, ""BETA"": 92, ""DELTA"": 13, ""GAMMA"": 221, ""OMEGA"": 180, ""SIGMA"": 158}}"
7115,2023-02-14,2023-02-14 11:28:35,portfolio,pnl_snapshot,CommitteeTeamAgent,,,,,0,0.0,0.0,3168.7077447000097,63067.164944700016,-36932.835055299984,-0.36932835055299984,"PnL -36,932.84 (-36.93%)，持仓 GAMMA:431, OMEGA:380, ALPHA:244, BETA:52","{""positions"": {""ALPHA"": 244, ""BETA"": 52, ""DELTA"": 48, ""GAMMA"": 431, ""OMEGA"": 380, ""SIGMA"": 33}}"
7116,2023-02-14,2023-02-14 11:28:36,portfolio,pnl_snapshot,DynamicTeamAgent,,,,,0,0.0,0.0,3164.899507700015,62896.62430770002,-37103.37569229998,-0.3710337569229998,"PnL -37,103.38 (-37.10%)，持仓 GAMMA:429, OMEGA:378, ALPHA:248, BETA:51","{""positions"": {""ALPHA"": 248, ""BETA"": 51, ""DELTA"": 48, ""GAMMA"": 429, ""OMEGA"": 378, ""SIGMA"": 32}}"
