date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-14,SocialGraphAgent,000858,BUY,12,287.0,3.444,社交图谱型：按有向图影响力混合团队与通信信念。,3444.0,84928.86392,99984.94392
2021-05-14,SocialGraphAgent,002415,BUY,264,60.69,16.02216,社交图谱型：按有向图影响力混合团队与通信信念。,16022.16,68890.68176,99968.92176
2021-05-14,SocialGraphAgent,002594,BUY,93,153.53,14.278290000000002,社交图谱型：按有向图影响力混合团队与通信信念。,14278.29,54598.113470000004,99954.64347000001
2021-05-14,SocialGraphAgent,300750,BUY,22,359.0,7.898000000000001,社交图谱型：按有向图影响力混合团队与通信信念。,7898.0,46692.21547,99946.74547
2021-05-14,SocialGraphAgent,600036,BUY,71,54.98,3.90358,社交图谱型：按有向图影响力混合团队与通信信念。,3903.58,42784.73189,99942.84189000001
2021-05-14,SocialGraphAgent,600519,BUY,1,2009.85,2.00985,社交图谱型：按有向图影响力混合团队与通信信念。,2009.85,40772.87204,99940.83204000001
2021-05-14,SocialGraphAgent,601318,BUY,26,71.18,1.8506800000000003,社交图谱型：按有向图影响力混合团队与通信信念。,1850.6800000000003,38920.34136,99938.98136
2021-05-14,SocialGraphAgent,601899,BUY,2976,11.06,32.91456000000001,社交图谱型：按有向图影响力混合团队与通信信念。,32914.560000000005,5972.866799999996,99906.0668
2021-05-21,MomentumAgent,002594,SELL,76,173.2,13.1632,MomentumAgent: own strategy blended with communicated beliefs.,13163.199999999999,18481.58292000001,102336.16292000002
2021-05-21,MomentumAgent,300750,BUY,13,375.57,4.88241,MomentumAgent: own strategy blended with communicated beliefs.,4882.41,13594.290510000012,102331.28051
2021-05-21,MomentumAgent,600036,BUY,47,54.11,2.54317,MomentumAgent: own strategy blended with communicated beliefs.,2543.17,11048.57734000001,102328.73734000002
2021-05-21,MomentumAgent,601899,SELL,2119,10.82,22.927580000000003,MomentumAgent: own strategy blended with communicated beliefs.,22927.58,33953.22976000001,102305.80976
2021-05-21,MeanReversionAgent,000333,SELL,91,81.55,7.42105,MeanReversionAgent: own strategy blended with communicated beliefs.,7421.05,12773.773639999992,102750.62364
2021-05-21,MeanReversionAgent,002415,SELL,18,64.0,1.1520000000000001,MeanReversionAgent: own strategy blended with communicated beliefs.,1152.0,13924.621639999992,102749.47164
2021-05-21,MeanReversionAgent,002594,SELL,73,173.2,12.6436,MeanReversionAgent: own strategy blended with communicated beliefs.,12643.599999999999,26555.57803999999,102736.82804
2021-05-21,MeanReversionAgent,300750,SELL,18,375.57,6.760260000000001,MeanReversionAgent: own strategy blended with communicated beliefs.,6760.26,33309.077779999985,102730.06777999998
2021-05-21,MeanReversionAgent,600036,BUY,154,54.11,8.33294,MeanReversionAgent: own strategy blended with communicated beliefs.,8332.94,24967.804839999983,102721.73483999998
2021-05-21,MeanReversionAgent,601318,BUY,42,70.05,2.9421,MeanReversionAgent: own strategy blended with communicated beliefs.,2942.1,22022.762739999984,102718.79273999998
2021-05-21,MeanReversionAgent,601899,BUY,289,10.82,3.12698,MeanReversionAgent: own strategy blended with communicated beliefs.,3126.98,18892.655759999983,102715.66575999999
2021-05-21,LowVolatilityAgent,002415,BUY,80,64.0,5.12,LowVolatilityAgent: own strategy blended with communicated beliefs.,5120.0,12215.122819999993,103092.40281999999
2021-05-21,LowVolatilityAgent,002594,SELL,68,173.2,11.7776,LowVolatilityAgent: own strategy blended with communicated beliefs.,11777.599999999999,23980.94521999999,103080.62521999999
2021-05-21,LowVolatilityAgent,300750,BUY,3,375.57,1.12671,LowVolatilityAgent: own strategy blended with communicated beliefs.,1126.71,22853.10850999999,103079.49850999999
2021-05-21,LowVolatilityAgent,601899,SELL,938,10.82,10.14916,LowVolatilityAgent: own strategy blended with communicated beliefs.,10149.16,32992.11934999999,103069.34934999999
2021-05-21,DrawdownBuyerAgent,000002,BUY,56,26.57,1.4879200000000001,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,1487.92,5281.225849999988,103916.50584999999
2021-05-21,DrawdownBuyerAgent,000333,SELL,18,81.55,1.4679,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,1467.8999999999999,6747.657949999988,103915.03795
2021-05-21,DrawdownBuyerAgent,000858,SELL,17,296.6,5.042200000000001,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,5042.200000000001,11784.815749999989,103909.99574999997
2021-05-21,DrawdownBuyerAgent,002415,BUY,15,64.0,0.96,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,960.0,10823.855749999988,103909.03574999997
2021-05-21,DrawdownBuyerAgent,002594,BUY,6,173.2,1.0392,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,1039.1999999999998,9783.616549999988,103907.99654999998
2021-05-21,DrawdownBuyerAgent,300750,SELL,12,375.57,4.50684,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,4506.84,14285.949709999988,103903.48970999998
2021-05-21,DrawdownBuyerAgent,600036,BUY,19,54.11,1.02809,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,1028.09,13256.831619999988,103902.46161999997
2021-05-21,DrawdownBuyerAgent,601318,BUY,17,70.05,1.19085,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,1190.85,12064.790769999989,103901.27076999999
2021-05-21,DrawdownBuyerAgent,601899,BUY,830,10.82,8.9806,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,8980.6,3075.2101699999876,103892.29017
2021-05-21,RandomAgent,000002,SELL,116,26.57,3.0821199999999997,RandomAgent: own strategy blended with communicated beliefs.,3082.12,8983.486330000014,101901.83633
2021-05-21,RandomAgent,000333,BUY,92,81.55,7.502599999999999,RandomAgent: own strategy blended with communicated beliefs.,7502.599999999999,1473.383730000015,101894.33373000001
2021-05-21,RandomAgent,300750,SELL,36,375.57,13.520520000000001,RandomAgent: own strategy blended with communicated beliefs.,13520.52,14980.383210000016,101880.81321000002
